Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,54400,40200,113000,3155800,10,2012-04-17 00:00:00
0,53700,39400,114500,3156200,10,2012-04-18 00:00:00
0,52700,38600,116300,3156600,10,2012-04-19 00:00:00
0,52300,38400,116900,3157000,10,2012-04-20 00:00:00
0,51800,38700,117100,3157400,10,2012-04-21 00:00:00
0,51200,38100,118300,3157800,10,2012-04-22 00:00:00
0,50500,38700,118400,3158200,10,2012-04-23 00:00:00
0,50400,38700,118500,3158600,10,2012-04-24 00:00:00
0,50000,39500,118000,3159000,11,2012-04-25 00:00:00
0,49600,39100,118800,3159400,11,2012-04-26 00:00:00
0,49400,39400,118700,3159800,11,2012-04-27 00:00:00
0,49100,39500,118900,3160200,11,2012-04-28 00:00:00
0,49000,38600,119900,3160600,11,2012-04-29 00:00:00
0,2006600,39800,119100,1203000,11,2012-04-30 00:00:00
0,2001700,40300,118800,1203200,60,2012-05-01 00:00:00
0,1998100,40200,122600,1203400,61,2012-05-02 00:00:00
0,1985700,39900,134300,1203600,73,2012-05-03 00:00:00
0,1973200,43400,143300,1203800,75,2012-05-04 00:00:00
0,1940400,50200,169200,1203900,79,2012-05-05 00:00:00
0,1857400,58800,243800,1203900,81,2012-05-06 00:00:00
0,1720300,71100,368800,1204100,81,2012-05-07 00:00:00
0,1570200,85800,504500,1204200,81,2012-05-08 00:00:00
0,1420400,102800,637700,1204200,81,2012-05-09 00:00:00
0,1275500,124800,760700,1204500,81,2012-05-10 00:00:00
0,1148900,141400,871100,1204500,81,2012-05-11 00:00:00
0,1034200,157200,970400,1204500,81,2012-05-12 00:00:00
0,943000,173100,1045900,1204700,81,2012-05-13 00:00:00
0,865800,190100,1106300,1204900,81,2012-05-14 00:00:00
0,815200,203200,1160200,1188900,81,2012-05-15 00:00:00
0,758300,217300,1203500,1188800,81,2012-05-16 00:00:00
0,682200,227000,1270000,1189100,81,2012-05-17 00:00:00
0,644300,233300,1301800,1189300,81,2012-05-18 00:00:00
0,609400,245000,1325300,1189400,81,2012-05-19 00:00:00
0,580400,257700,1341800,1189600,81,2012-05-20 00:00:00
0,559100,264100,1356900,1189800,81,2012-05-21 00:00:00
0,538300,275000,1367000,1190000,81,2012-05-22 00:00:00
0,521500,282000,1377200,1190000,81,2012-05-23 00:00:00
0,506900,284200,1389700,1190300,81,2012-05-24 00:00:00
0,492700,282400,1405900,1190500,81,2012-05-25 00:00:00
0,480400,286900,1413900,1190700,81,2012-05-26 00:00:00
0,470900,289000,1421400,1191000,81,2012-05-27 00:00:00
0,462100,290300,1429000,1191300,81,2012-05-28 00:00:00
0,453500,291500,1436800,1191300,81,2012-05-29 00:00:00
0,446400,292300,1443300,1191500,81,2012-05-30 00:00:00
0,440700,297100,1444400,1191700,81,2012-05-31 00:00:00
0,436500,302800,1443200,1191800,81,2012-06-01 00:00:00
0,431400,302200,1449200,1191900,81,2012-06-02 00:00:00
0,427900,301600,1453600,1192000,81,2012-06-03 00:00:00
0,423800,300300,1459300,1192100,81,2012-06-04 00:00:00
0,419900,305900,1457800,1192300,81,2012-06-05 00:00:00
0,416600,306600,1460600,1192500,81,2012-06-06 00:00:00
0,412900,306100,1465100,1192600,81,2012-06-07 00:00:00
0,410500,305900,1468100,1192600,81,2012-06-08 00:00:00
0,408700,307800,1468400,1192600,81,2012-06-09 00:00:00
0,405800,309200,1470000,1192900,81,2012-06-10 00:00:00
0,403800,309000,1472400,1193100,81,2012-06-11 00:00:00
0,402600,311600,1471400,1193100,81,2012-06-12 00:00:00
0,401800,311000,1472900,1193400,81,2012-06-13 00:00:00
0,400500,311800,1473500,1193700,81,2012-06-14 00:00:00
0,415800,313400,1472900,1177800,81,2012-06-15 00:00:00
0,414100,311000,1477300,1177900,81,2012-06-16 00:00:00
0,412700,308300,1481600,1178100,81,2012-06-17 00:00:00
0,411500,311200,1480100,1178300,81,2012-06-18 00:00:00
0,411100,310000,1481800,1178600,81,2012-06-19 00:00:00
0,411100,310600,1481700,1178500,81,2012-06-20 00:00:00
0,410700,313900,1478900,1178800,81,2012-06-21 00:00:00
0,410100,312700,1480800,1179100,81,2012-06-22 00:00:00
0,410000,313300,1480600,1179200,81,2012-06-23 00:00:00
0,410100,309900,1484100,1179400,81,2012-06-24 00:00:00
0,413200,308000,1486500,1176200,81,2012-06-25 00:00:00
0,429400,328800,1466300,1159800,81,2012-06-26 00:00:00
0,448600,330300,1465300,1140400,82,2012-06-27 00:00:00
0,447700,328600,1468000,1140700,82,2012-06-28 00:00:00
0,445900,326900,1472000,1140600,82,2012-06-29 00:00:00
0,444400,323300,1477500,1140600,82,2012-06-30 00:00:00
0,442700,325700,1477000,1140800,82,2012-07-01 00:00:00
0,441500,329600,1474400,1141100,82,2012-07-02 00:00:00
0,441600,328000,1476300,1141100,82,2012-07-03 00:00:00
0,441200,324800,1480100,1141200,83,2012-07-04 00:00:00
0,440900,326300,1479200,1141300,83,2012-07-05 00:00:00
0,441100,328000,1477700,1141300,83,2012-07-06 00:00:00
0,441200,329200,1476600,1141500,83,2012-07-07 00:00:00
0,441200,329300,1476700,1141700,83,2012-07-08 00:00:00
0,441500,326800,1479200,1141800,83,2012-07-09 00:00:00
0,441700,325800,1480200,1142000,83,2012-07-10 00:00:00
0,442000,328000,1478100,1142000,83,2012-07-11 00:00:00
0,442100,329100,1477100,1142200,83,2012-07-12 00:00:00
0,442300,328400,1477900,1142300,83,2012-07-13 00:00:00
0,442500,328900,1477500,1142400,83,2012-07-14 00:00:00
0,442700,329200,1477300,1142500,83,2012-07-15 00:00:00
0,443000,328000,1478500,1142600,83,2012-07-16 00:00:00
0,443200,328500,1478000,1142800,83,2012-07-17 00:00:00
0,443400,328600,1477900,1143000,83,2012-07-18 00:00:00
0,443600,329800,1476700,1143200,83,2012-07-19 00:00:00
0,443800,329400,1477200,1143300,83,2012-07-20 00:00:00
0,443900,331300,1475300,1143600,83,2012-07-21 00:00:00
0,444200,333000,1473600,1143700,83,2012-07-22 00:00:00
0,444300,332600,1474000,1144000,83,2012-07-23 00:00:00
0,444400,330300,1476300,1144300,83,2012-07-24 00:00:00
0,444700,326800,1479800,1144400,83,2012-07-25 00:00:00
0,444800,330600,1476000,1144700,83,2012-07-26 00:00:00
0,445100,330500,1476100,1144800,83,2012-07-27 00:00:00
0,445400,331400,1475200,1144900,83,2012-07-28 00:00:00
0,445500,330500,1476100,1145200,83,2012-07-29 00:00:00
0,445900,329100,1477500,1145200,83,2012-07-30 00:00:00
0,446300,329800,1476800,1145200,83,2012-07-31 00:00:00
0,446600,330000,1476600,1145300,83,2012-08-01 00:00:00
0,446600,328800,1477800,1145700,83,2012-08-02 00:00:00
0,447000,328600,1478000,1145700,83,2012-08-03 00:00:00
0,447100,328600,1478000,1146000,83,2012-08-04 00:00:00
0,447300,329000,1477600,1146200,83,2012-08-05 00:00:00
0,447700,328800,1477800,1146200,83,2012-08-06 00:00:00
0,448000,328300,1478300,1146300,83,2012-08-07 00:00:00
0,448200,328000,1478600,1146500,83,2012-08-08 00:00:00
0,448700,328700,1477900,1146400,83,2012-08-09 00:00:00
0,449000,329900,1476700,1146500,83,2012-08-10 00:00:00
0,449300,332400,1474200,1146600,83,2012-08-11 00:00:00
0,449400,333000,1473600,1146900,83,2012-08-12 00:00:00
0,449700,333400,1473200,1147000,83,2012-08-13 00:00:00
0,449900,332600,1474000,1147200,83,2012-08-14 00:00:00
0,450400,332500,1474100,1147100,83,2012-08-15 00:00:00
0,450500,333100,1473500,1147400,83,2012-08-16 00:00:00
0,450900,333200,1473400,1147400,83,2012-08-17 00:00:00
0,451000,334500,1472100,1147700,83,2012-08-18 00:00:00
0,451400,335400,1471200,1147700,83,2012-08-19 00:00:00
0,451800,338000,1468600,1147700,83,2012-08-20 00:00:00
0,451900,337500,1469100,1148000,83,2012-08-21 00:00:00
0,452100,335500,1471100,1148200,83,2012-08-22 00:00:00
