Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
100,105300,25600,76000,3152100,1,2012-04-04 00:00:00
100,100800,23400,82700,3152500,1,2012-04-05 00:00:00
100,90700,23900,92300,3152900,1,2012-04-06 00:00:00
100,94800,25600,93900,3145900,1,2012-04-07 00:00:00
100,93000,24300,97000,3146300,1,2012-04-08 00:00:00
100,93000,27200,94100,3146700,1,2012-04-09 00:00:00
100,93000,25700,95600,3147100,1,2012-04-10 00:00:00
100,92500,26000,95800,3147500,1,2012-04-11 00:00:00
100,90700,25200,98400,3147900,1,2012-04-12 00:00:00
100,90700,25000,98600,3148300,1,2012-04-13 00:00:00
100,88200,24100,102100,3148600,1,2012-04-14 00:00:00
100,88200,26700,99500,3149000,1,2012-04-15 00:00:00
100,88200,28600,97600,3149400,1,2012-04-16 00:00:00
100,88200,28700,97500,3149800,1,2012-04-17 00:00:00
100,88200,24200,102000,3150200,1,2012-04-18 00:00:00
100,87400,29300,97800,3150500,1,2012-04-19 00:00:00
100,87400,30900,96200,3150900,1,2012-04-20 00:00:00
100,87400,26100,101000,3151300,1,2012-04-21 00:00:00
100,87400,26500,100600,3151700,1,2012-04-22 00:00:00
100,87400,28300,98800,3152100,1,2012-04-23 00:00:00
100,87400,23500,103600,3152500,1,2012-04-24 00:00:00
100,87400,22900,104200,3152900,1,2012-04-25 00:00:00
100,87400,24000,103100,3153300,1,2012-04-26 00:00:00
100,87400,26100,101000,3153700,1,2012-04-27 00:00:00
100,87400,29300,97800,3154100,1,2012-04-28 00:00:00
100,87400,24500,102600,3154500,1,2012-04-29 00:00:00
100,2048400,23900,104200,1192900,1,2012-04-30 00:00:00
100,2048500,22500,105600,1193100,2,2012-05-01 00:00:00
100,2048500,21800,106800,1193000,2,2012-05-02 00:00:00
100,2047300,19800,110200,1193200,2,2012-05-03 00:00:00
100,2044500,23200,109900,1193300,2,2012-05-04 00:00:00
100,2039100,24000,114700,1193500,2,2012-05-05 00:00:00
100,2024400,29900,123600,1193800,2,2012-05-06 00:00:00
100,1991500,33300,153300,1194000,2,2012-05-07 00:00:00
100,1926800,38800,212700,1194200,2,2012-05-08 00:00:00
100,1841200,44100,293500,1194100,2,2012-05-09 00:00:00
100,1755700,51500,371900,1194200,2,2012-05-10 00:00:00
100,1663900,48400,466900,1194500,2,2012-05-11 00:00:00
100,1599400,53100,527000,1194600,2,2012-05-12 00:00:00
100,1504400,59800,615500,1194800,2,2012-05-13 00:00:00
100,1448600,60600,670600,1195100,2,2012-05-14 00:00:00
100,1416000,65900,706300,1187100,2,2012-05-15 00:00:00
