Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
23,17690,19171,0.07725209952532475,7,1596,0.9956140350877193,7,633,0.9889415481832543,698,534,0.30711610486891394,875,865,0.011560693641618602,0,0,0.0,0,0,0.0,0.1697442870301329,22799,22799,22799,0,19277,0,0.776566205468926
24,17726,20016,0.11440847322142289,11,2394,0.995405179615706,11,950,0.988421052631579,698,527,0.32447817836812143,875,865,0.011560693641618602,0,0,0.0,0,0,0.0,0.23404169360051713,24752,24752,24752,0,19321,0,0.7170706576634633
25,17765,20860,0.1483700862895494,24,2394,0.9899749373433584,24,953,0.974816369359916,698,520,0.3423076923076922,875,865,0.011560693641618602,0,0,0.0,0,0,0.0,0.2571897467958737,25592,25592,25592,0,19386,0,0.6960742778401862
26,17803,21705,0.1797742455655379,49,2394,0.97953216374269,45,956,0.9529288702928871,698,513,0.3606237816764133,875,864,0.0127314814814814,0,0,0.0,0,0,0.0,0.27822336561743344,26432,26432,26432,0,19470,0,0.6771312393495023
27,17823,22549,0.20958800833739855,120,2394,0.949874686716792,62,959,0.935349322210636,698,506,0.37944664031620556,875,864,0.0127314814814814,0,0,0.0,0,0,0.0,0.29700792021120564,27272,27272,27272,0,19578,0,0.6602351466150647
28,17854,23394,0.23681285799777718,182,2394,0.9239766081871346,74,962,0.9230769230769231,698,499,0.3987975951903808,875,863,0.013904982618771822,0,0,0.0,0,0,0.0,0.3148477518497439,28112,28112,28112,0,19683,0,0.6442420645448934
29,17890,23536,0.23988783140720593,279,2394,0.8834586466165414,187,965,0.8062176165803109,698,492,0.4186991869918699,875,863,0.013904982618771822,0,0,0.0,0,0,0.0,0.30998230088495576,28250,28250,28250,0,19929,0,0.6498029351676475
30,18043,23678,0.2379846270799899,378,2394,0.8421052631578947,277,968,0.7138429752066116,698,485,0.43917525773195876,875,863,0.013904982618771822,0,0,0.0,0,0,0.0,0.30178244328589543,28388,28388,28388,0,20271,0,0.6586914512641272
31,18152,23820,0.23795130142737198,487,2394,0.7965747702589808,368,971,0.6210092687950566,698,478,0.4602510460251046,875,862,0.015081206496519783,0,0,0.0,0,0,0.0,0.2948641542506573,28525,28525,28525,0,20580,0,0.6663604879399139
32,18264,23963,0.2378249801777741,789,2394,0.6704260651629073,451,974,0.5369609856262834,799,579,0.37996545768566503,925,880,0.051136363636363535,0,39,1.0,643,19,32.8421052631579,0.30348724348308376,28848,28848,28848,0,21871,0,0.7035866292815431
33,18326,24273,0.24500473777448195,976,2394,0.5923141186299081,522,977,0.465711361310133,807,680,0.18676470588235294,927,898,0.03229398663697114,0,78,1.0,908,38,22.894736842105264,0.3041788806326266,29338,29338,29338,0,22466,0,0.7121162683725529
34,18400,24583,0.25151527478338687,1183,2394,0.5058479532163742,604,980,0.38367346938775515,811,782,0.037084398976982014,927,916,0.012008733624454093,0,117,1.0,1006,58,16.344827586206897,0.29751927589674826,29830,29830,29830,0,22931,0,0.7159593389713026
35,18468,24893,0.2581046880649178,1496,2394,0.3751044277360067,700,983,0.2878942014242116,826,883,0.0645526613816535,936,934,0.0021413276231263545,1,156,0.9935897435897436,1128,77,13.64935064935065,0.2925791556728232,30320,30320,30320,0,23555,0,0.724969230920645
36,18554,25203,0.2638177994683173,1771,2394,0.26023391812865493,777,986,0.21196754563894527,851,984,0.13516260162601623,942,952,0.010504201680672232,1,195,0.9948717948717949,1316,96,12.708333333333334,0.2933463161311263,30810,30810,30810,0,24212,0,0.7347636183548834
37,18616,25513,0.27033277152824053,2002,2394,0.16374269005847952,859,989,0.13144590495449948,876,1086,0.1933701657458563,943,971,0.028836251287332693,1,235,0.9957446808510638,1501,116,11.939655172413794,0.2963199591106568,31304,31304,31304,0,24798,0,0.7418881638612943
38,18681,25823,0.2765751461875072,2227,2394,0.06975772765246446,945,992,0.0473790322580645,908,1187,0.23504633529907326,945,989,0.044489383215369105,1,274,0.9963503649635036,1682,135,11.459259259259259,0.29876706296785555,31794,31794,31794,0,25389,0,0.7490428093827124
39,18741,26133,0.2828607507748824,2450,2394,0.023391812865497075,1045,995,0.05025125628140703,939,1288,0.27096273291925466,954,1007,0.052631578947368474,1,313,0.9968051118210862,1878,155,11.116129032258064,0.30772804708068763,32285,32285,32285,0,26008,0,0.7568241313772327
40,18811,26443,0.28862080701887083,2638,2463,0.07105156313438887,1123,997,0.12637913741223672,972,1390,0.30071942446043165,964,1025,0.05951219512195127,1,352,0.9971590909090909,2060,174,10.839080459770114,0.3242296918767507,32844,32844,32844,0,26569,0,0.7610238424526232
41,18886,26753,0.29406047919859457,2817,2533,0.11212001579155162,1211,1000,0.21100000000000008,1008,1491,0.323943661971831,981,1043,0.05944391179290509,4,391,0.989769820971867,2247,193,10.642487046632125,0.3397197940366423,33404,33404,33404,0,27154,0,0.765778561894203
42,18948,27063,0.29985589180800354,3004,2602,0.15449654112221367,1298,1003,0.2941176470588236,1041,1592,0.3461055276381909,996,1061,0.061262959472196066,6,431,0.9860788863109049,2435,213,10.431924882629108,0.35551302811717944,33965,33965,33965,0,27728,0,0.770029944987898
43,19027,27373,0.3048989880539218,3150,2671,0.17933358292774249,1372,1005,0.3651741293532338,1074,1694,0.3659976387249114,1011,1079,0.06302131603336425,8,470,0.9829787234042553,2642,232,10.387931034482758,0.3693662379793767,34524,34524,34524,0,28284,0,0.7736666400623902
44,19101,27683,0.31000975327818514,3302,2740,0.20510948905109494,1448,1008,0.4365079365079365,1105,1795,0.3844011142061281,1023,1097,0.06745670009115767,13,509,0.9744597249508841,2855,251,10.374501992031872,0.3833195564803466,35083,35083,35083,0,28847,0,0.7773869703706626
45,19175,27993,0.3150073232593863,3459,2810,0.23096085409252676,1525,1011,0.5084075173095945,1143,1897,0.39746968898260415,1032,1115,0.07443946188340811,16,548,0.9708029197080292,3065,271,10.309963099630997,0.39680179548323746,35645,35645,35645,0,29415,0,0.7810651446630371
46,19242,28303,0.3201427410521853,3618,2879,0.2566863494268843,1598,1013,0.577492596248766,1164,1998,0.41741741741741745,1050,1133,0.07325684024713153,21,587,0.9642248722316865,3258,290,10.23448275862069,0.4098002927934149,36203,36203,36203,0,29951,0,0.7838319222582094
47,19310,28546,0.32354795768233724,3805,2948,0.29070556309362283,1688,1016,0.6614173228346456,1202,2099,0.4273463554073368,1067,1151,0.07298001737619464,24,627,0.9617224880382775,3462,310,10.167741935483871,0.4224051012344333,36697,36697,36697,0,30558,0,0.7898211592640804
48,19378,28788,0.326872307906072,3983,3017,0.32018561484918795,1766,1019,0.733071638861629,1240,2201,0.43661971830985913,1094,1169,0.06415739948674082,25,666,0.9624624624624625,3674,329,10.167173252279635,0.43413374922692194,37189,37189,37189,0,31160,0,0.7955596300388276
49,19452,29031,0.3299576314973649,4143,3086,0.34251458198314966,1831,1022,0.7915851272015655,1275,2302,0.44613379669852304,1112,1187,0.06318449873631005,26,705,0.9631205673758865,3873,348,10.129310344827585,0.4445476500092885,37681,37681,37681,0,31712,0,0.799821317945754
50,19519,29274,0.3332308533169366,4310,3156,0.36565272496831436,1900,1024,0.85546875,1311,2403,0.4544319600499376,1133,1205,0.05975103734439835,29,744,0.9610215053763441,4054,368,10.016304347826088,0.45449782574527164,38174,38174,38174,0,32256,0,0.8037425232229779
51,19581,29517,0.33661957516007723,4495,3225,0.3937984496124032,1934,1027,0.8831548198636807,1355,2505,0.45908183632734534,1153,1223,0.05723630417007364,31,783,0.9604086845466155,4235,387,9.943152454780362,0.46378048465099436,38667,38667,38667,0,32784,0,0.8071499490913171
52,19641,29760,0.34002016129032253,4701,3294,0.42714025500910746,1942,1030,0.8854368932038834,1377,2606,0.47160399079048354,1176,1241,0.05237711522965349,36,823,0.9562575941676792,4419,406,9.88423645320197,0.4732379979570991,39160,39160,39160,0,33292,0,0.8099608549926955
53,19699,30002,0.34341043930404636,4913,3363,0.4608980077311924,1942,1032,0.8817829457364341,1400,2707,0.48282231252308827,1198,1259,0.04845115170770453,36,862,0.9582366589327146,4612,426,9.826291079812206,0.4827873193614285,39651,39651,39651,0,33800,0,0.81274285847807
