Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,121800,20400,78300,3129300,0,2012-04-04 00:00:00
0,116700,20400,83400,3129600,0,2012-04-05 00:00:00
0,115500,27600,77400,3129900,0,2012-04-06 00:00:00
0,128400,32400,76200,3113700,0,2012-04-07 00:00:00
0,128400,28800,79800,3114000,0,2012-04-08 00:00:00
0,128400,20100,88500,3114300,0,2012-04-09 00:00:00
0,128400,20700,87900,3114600,0,2012-04-10 00:00:00
0,125400,23700,87900,3114900,0,2012-04-11 00:00:00
0,122100,23700,91200,3115200,0,2012-04-12 00:00:00
0,117600,24300,95100,3115500,0,2012-04-13 00:00:00
0,117600,24300,95100,3115800,0,2012-04-14 00:00:00
0,117600,24300,95100,3116100,0,2012-04-15 00:00:00
0,117600,29400,90000,3116400,0,2012-04-16 00:00:00
0,117600,24900,94500,3116700,0,2012-04-17 00:00:00
0,117600,23100,96300,3117000,0,2012-04-18 00:00:00
0,117600,23400,96000,3117300,0,2012-04-19 00:00:00
0,117600,22800,96600,3117600,0,2012-04-20 00:00:00
0,117600,18300,101100,3117900,0,2012-04-21 00:00:00
0,117600,15300,104100,3118200,0,2012-04-22 00:00:00
0,117600,15900,103500,3118500,0,2012-04-23 00:00:00
0,117600,25500,93900,3118800,0,2012-04-24 00:00:00
0,117600,25200,94200,3119100,0,2012-04-25 00:00:00
0,117600,26400,93000,3119400,0,2012-04-26 00:00:00
0,117600,21600,97800,3119700,0,2012-04-27 00:00:00
0,117600,21600,97800,3120000,0,2012-04-28 00:00:00
0,117600,21300,98100,3120300,0,2012-04-29 00:00:00
0,2072400,20400,99000,1165800,0,2012-04-30 00:00:00
0,2072700,20400,99000,1165800,0,2012-05-01 00:00:00
0,2072700,25200,94200,1166100,0,2012-05-02 00:00:00
0,2073000,26100,93300,1166100,0,2012-05-03 00:00:00
0,2073000,26100,93300,1166400,0,2012-05-04 00:00:00
0,2058600,25200,108600,1166700,0,2012-05-05 00:00:00
0,2041500,31200,120300,1166400,0,2012-05-06 00:00:00
0,2014800,35400,142800,1166700,0,2012-05-07 00:00:00
0,1961400,46500,185100,1167000,0,2012-05-08 00:00:00
0,1930800,58800,204000,1166700,0,2012-05-09 00:00:00
0,1912500,64800,216000,1167300,0,2012-05-10 00:00:00
0,1887900,70500,235500,1167000,0,2012-05-11 00:00:00
0,1857300,78900,257400,1167300,1,2012-05-12 00:00:00
0,1848600,92400,252600,1167600,1,2012-05-13 00:00:00
0,1834800,93900,265200,1167600,1,2012-05-14 00:00:00
0,1837800,96000,279900,1148100,1,2012-05-15 00:00:00
0,1832700,106800,274200,1148400,1,2012-05-16 00:00:00
0,1826100,128700,259200,1148400,1,2012-05-17 00:00:00
0,1810800,120000,283500,1148400,1,2012-05-18 00:00:00
0,1806300,118500,289800,1148400,1,2012-05-19 00:00:00
0,1793100,126000,295800,1148400,1,2012-05-20 00:00:00
0,1789500,130500,295200,1148400,1,2012-05-21 00:00:00
0,1780800,135900,298500,1148700,1,2012-05-22 00:00:00
0,1774800,138000,303000,1148400,1,2012-05-23 00:00:00
0,1769100,135600,310800,1149000,1,2012-05-24 00:00:00
0,1769400,135300,311100,1149000,1,2012-05-25 00:00:00
0,1314900,76800,824100,1149300,1,2012-05-26 00:00:00
0,1303500,110700,801300,1149900,1,2012-05-27 00:00:00
0,1300800,133500,781500,1149900,1,2012-05-28 00:00:00
0,1299000,167100,750000,1149900,1,2012-05-29 00:00:00
0,1297500,166200,753000,1149600,1,2012-05-30 00:00:00
0,1297800,173100,746100,1149600,1,2012-05-31 00:00:00
0,1298100,173100,746100,1149600,1,2012-06-01 00:00:00
0,1298400,181200,738000,1149600,1,2012-06-02 00:00:00
0,1298700,181200,738000,1149600,1,2012-06-03 00:00:00
0,1298700,194100,725100,1149900,1,2012-06-04 00:00:00
0,1298700,182700,736500,1150200,1,2012-06-05 00:00:00
0,1299300,200700,718500,1149900,1,2012-06-06 00:00:00
0,1299600,208800,710400,1149900,1,2012-06-07 00:00:00
0,1298100,214500,706500,1149900,1,2012-06-08 00:00:00
0,1298400,220200,700800,1149900,1,2012-06-09 00:00:00
0,1292100,243900,683700,1149900,1,2012-06-10 00:00:00
0,1292400,233700,693900,1149900,1,2012-06-11 00:00:00
0,1292700,227700,699900,1149900,1,2012-06-12 00:00:00
0,1293000,218700,708900,1149900,1,2012-06-13 00:00:00
0,1293000,222900,704700,1150200,1,2012-06-14 00:00:00
0,1305000,201000,726600,1138500,1,2012-06-15 00:00:00
0,1305300,202500,725100,1138500,1,2012-06-16 00:00:00
0,1305600,207900,719700,1138500,1,2012-06-17 00:00:00
0,1302600,212400,718200,1138800,1,2012-06-18 00:00:00
0,1302600,213900,716700,1139100,1,2012-06-19 00:00:00
0,1299300,216300,717600,1139400,1,2012-06-20 00:00:00
0,1296600,224700,711900,1139700,1,2012-06-21 00:00:00
0,1296600,225000,711600,1140000,1,2012-06-22 00:00:00
0,1295100,212400,726300,1139700,1,2012-06-23 00:00:00
0,1295100,206700,732000,1140000,1,2012-06-24 00:00:00
0,1298100,206400,732300,1137300,1,2012-06-25 00:00:00
0,1306200,215400,723300,1129500,1,2012-06-26 00:00:00
0,1332900,210300,729600,1101900,1,2012-06-27 00:00:00
0,1327800,208200,737100,1101900,1,2012-06-28 00:00:00
0,1327800,213300,732000,1102200,1,2012-06-29 00:00:00
0,1320900,216600,735600,1102500,1,2012-06-30 00:00:00
0,1312500,215400,745500,1102500,1,2012-07-01 00:00:00
0,1305000,213600,754800,1102800,1,2012-07-02 00:00:00
0,1304700,204600,764400,1102800,1,2012-07-03 00:00:00
0,1305300,204600,764400,1102500,1,2012-07-04 00:00:00
0,1302300,211500,760500,1102800,1,2012-07-05 00:00:00
0,1296900,210000,767100,1103400,1,2012-07-06 00:00:00
0,1297500,206700,770400,1103100,1,2012-07-07 00:00:00
0,1295100,207300,772500,1103100,1,2012-07-08 00:00:00
0,1295400,207900,771900,1103100,1,2012-07-09 00:00:00
0,1293300,204600,777300,1103400,1,2012-07-10 00:00:00
0,1293300,199200,782700,1103700,1,2012-07-11 00:00:00
0,1293900,201300,780600,1103400,1,2012-07-12 00:00:00
